EPHY111L: B27; (T): Dr. Ayush Garg {Online-2}, ,EMAT102L: B27; (T): Ms. Surabhi {115-N-CA},EPHY111L: B27; (P): Dr. Subhadeep Mondal {004-A-LA }, , 
EPHY111L: B27; (T): Dr. Sachin Gupta {216-N-CA}, , ,EPHY111L: B27; (P): Dr. Subhadeep Mondal {004-A-LA }, , 
 , ,CSET109: B27; (P): Mr. Bhoopendra Kumar {210 B-LA},CSET109: B27; (T): Dr. Amit Dwivedi {128-N-CA},CSET105: B27; (P): Dr. Shallu Sharma {202b B-LA}, 
 , ,CSET109: B27; (P): Mr. Bhoopendra Kumar {210 B-LA},CSET106: B27; B28; (T): Dr. Shaily {318-N-CA},CSET105: B27; (P): Dr. Shallu Sharma {202b B-LA}, 
 , , , , , 
EMAT102L: G4; (L): Dr. Sumit Malik {103-N-LH},CSET109: G4; (L): Dr. Dileep Kumar Yadav {102-N-LH},EPHY111L: G4; (L): Dr. Sachin Gupta {002-A-LH},EPHY111L: G4; (L): Dr. Sachin Gupta {002-A-LH}, , 
CSET109: G4; (L): Dr. Dileeddddddddp Kumar Yadav {102-N-LH},EPHY111L: G4; (L): Dr. Sachin Gupta {104-N-LH},EMAT102L: G4; (L): Dr. Sumit Malik {103-N-LH},EMAT102L: G4; (L): Dr. Sumit Malik {103-N-LH}, , 
CSET106: G4; (L): Dr. Pallav Shah {102-N-LH}, ,CSET105: G4; (L): Dr. Abhimanyu bar {102-N-LH},CSET105: G4; (L): Dr. Abhimanyu bar {103-N-LH},CSET109: G4; (L): Dr. Dileep Kumar Yadav {102-N-LH}, 
CSET105: G4; (L): Dr. Abhimanyu bar {102-N-LH}, ,CSET106: G4; (L): Dr. Pallav Shah {104-N-LH}, ,CSET106: G4; (L): Dr. Pallav Shah {102-N-LH}, 
 , , , , , 
